ds,y
2021-10-30,240.7642180417044
2021-10-31,251.31000393855848
2021-11-01,252.4773276170061
2021-11-02,239.09190526315788
2021-11-03,236.4080599062918
2021-11-04,230.57521642764016
2021-11-05,239.2071534128562
2021-11-06,243.05563938275748
2021-11-07,261.9385076075551
2021-11-08,234.4669631811487
2021-11-09,233.64323465809468
2021-11-10,231.66127251530168
2021-11-11,233.8512467988953
2021-11-12,234.43586782455108
2021-11-13,242.27411410601977
2021-11-14,244.1120881495872
2021-11-15,219.4288567702158
2021-11-16,221.4815276554087
2021-11-17,218.35329622685728
2021-11-18,223.47805439330543
2021-11-19,217.19156342347367
2021-11-20,219.18238468779415
2021-11-21,225.9374459764919
2021-11-22,219.03889013157897
2021-11-23,214.4395734295416
2021-11-24,212.2449347161572
2021-11-25,216.38108449117536
2021-11-26,217.0385419087137
2021-11-27,214.1814349432207
2021-11-28,223.9823910296905
2021-11-29,210.27034905207583
2021-11-30,208.6110499313444
2021-12-01,210.7251617794307
2021-12-02,205.10832692307693
2021-12-03,202.7619911097486
2021-12-04,210.07787835344217
2021-12-05,215.8524124764125
2021-12-06,203.46459973881815
2021-12-07,206.1579871728561
2021-12-08,208.75397785349233
2021-12-09,208.68336266499057
2021-12-10,204.05483864656463
2021-12-11,211.8715078369906
2021-12-12,223.03776524868508
2021-12-13,204.19324471435
2021-12-14,203.26166342033503
2021-12-15,211.29729690882328
2021-12-16,207.01474961407845
2021-12-17,205.66499804185537
2021-12-18,217.05593136634164
2021-12-19,218.5044936200378
2021-12-20,212.9771578541104
2021-12-21,214.26737513781697
2021-12-22,213.3067944620253
2021-12-23,217.4594291386156
2021-12-24,211.7996339537507
2021-12-25,200.26620997300753
2021-12-26,216.7760991905142
2021-12-27,218.08267108099787
2021-12-28,219.12841171777043
2021-12-29,224.12587821770748
2021-12-30,220.41072248498017
2021-12-31,224.02686658218684
2022-01-01,222.0469072614108
2022-01-02,228.6168797385621
2022-01-03,223.88466637952257
2022-01-04,225.23544289226643
2022-01-05,222.83405174825177
2022-01-06,224.10160940623163
2022-01-07,219.6374401172018
2022-01-08,221.6520242505484
2022-01-09,228.33410888979097
2022-01-10,220.78160784541964
2022-01-11,211.7779041517802
2022-01-12,213.9563893760962
2022-01-13,215.38487523701176
2022-01-14,209.5697337245041
2022-01-15,221.01099619978285
2022-01-16,222.29139912722388
2022-01-17,214.22061827018945
2022-01-18,215.7268593099745
2022-01-19,216.03776716254947
2022-01-20,212.2935895100069
2022-01-21,213.18105710549256
2022-01-22,214.45622248636553
2022-01-23,218.21896168140455
2022-01-24,210.63106143344712
2022-01-25,207.20262280701752
2022-01-26,205.46954986484565
2022-01-27,206.35118429985857
2022-01-28,203.42546072013093
2022-01-29,205.45547923522955
2022-01-30,209.87132117695813
2022-01-31,202.37906088587505
2022-02-01,198.2224930300807
2022-02-02,204.2318030036747
2022-02-03,201.57353737893465
2022-02-04,201.7787954042553
2022-02-05,204.39273002273129
2022-02-06,196.10416277970376
2022-02-07,196.2350786004057
2022-02-08,202.42618289085544
2022-02-09,204.92747670014825
2022-02-10,201.1948883639545
2022-02-11,203.36245478507703
2022-02-12,196.54048395651023
2022-02-13,198.03643080829457
2022-02-14,199.4177504663212
2022-02-15,202.19554440082257
2022-02-16,204.04263953708977
2022-02-17,208.88245790816327
2022-02-18,210.6757456180812
2022-02-19,219.68663088552915
2022-02-20,205.0730770273323
2022-02-21,201.50388656512845
2022-02-22,197.95599265043637
2022-02-23,199.77116437118988
2022-02-24,192.0334573580845
2022-02-25,198.1371223765888
2022-02-26,201.14048433874711
2022-02-27,204.56094116006693
2022-02-28,195.64753616905983
2022-03-01,191.72494383323684
2022-03-02,194.35755371900825
2022-03-03,194.72812051349229
2022-03-04,192.79203693270733
2022-03-05,199.78534939759035
2022-03-06,199.01273229939312
2022-03-07,193.49748745046236
2022-03-08,195.51286358829748
2022-03-09,192.85852045454547
2022-03-10,198.48658896940415
2022-03-11,191.2600896800361
2022-03-12,200.98344344106465
2022-03-13,201.71943807844863
2022-03-14,189.30137380191692
2022-03-15,188.23905224225612
2022-03-16,186.09029715762273
2022-03-17,189.54038134001252
2022-03-18,178.77727400140154
2022-03-19,195.15281598062955
2022-03-20,191.44339554917445
2022-03-21,181.75919169719168
2022-03-22,180.23447250509167
2022-03-23,182.16945376175548
2022-03-24,181.6243791069924
2022-03-25,184.6184566473989
2022-03-26,202.6476611295681
2022-03-27,189.9912147852148
2022-03-28,184.89391666666663
2022-03-29,175.38674777975135
2022-03-30,184.20915449735452
2022-03-31,181.89435072142064
2022-04-01,176.14840110650067
2022-04-02,208.5803128781331
2022-04-03,206.15770544783012
2022-04-04,178.29951767151766
2022-04-05,187.34742922374429
2022-04-06,187.0493123209169
2022-04-07,176.44945245398773
2022-04-08,169.7004862258953
2022-04-09,183.57332
2022-04-10,174.82020142180096
2022-04-11,159.3071857142857
2022-04-12,173.33827821939587
2022-04-13,157.83668899521533
2022-04-14,156.25873199329985
2022-04-15,167.53090035587186
2022-04-16,171.58537603305786
2022-04-17,171.90664705882352
2022-04-18,166.58689345794392
2022-04-19,154.53690641247834
2022-04-20,144.52266840277778
2022-04-21,165.96746768060837
2022-04-22,145.7189470338983
2022-04-23,154.80329581151832
2022-04-24,146.31425407925408
2022-04-25,140.43208892921962
2022-04-26,143.76690828924163
2022-04-27,151.7420099009901
2022-04-28,143.19925063938618
2022-04-29,146.05538176638177
2022-04-30,151.2795234899329
2022-05-01,142.62635398230088
2022-05-02,145.69219491525425
2022-05-03,119.29265017667844
2022-05-04,130.35503401360543
2022-05-05,125.60911824324324
2022-05-06,137.94867537313434
2022-05-07,133.53346245059288
2022-05-08,133.872890625
2022-05-09,128.4858223938224
2022-05-10,135.5301224489796
2022-05-11,120.57647058823532
2022-05-12,128.48881497797356
2022-05-13,134.5243905579399
2022-05-14,132.36020103092784
2022-05-15,127.3514362745098
2022-05-16,130.6948353909465
2022-05-17,129.25091228070175
2022-05-18,134.23296354166666
2022-05-19,131.25442180094788
2022-05-20,126.08173232323232
2022-05-21,144.88891469194314
2022-05-22,160.48164750957855
2022-05-23,139.89120091324202
2022-05-24,150.1521392857143
2022-05-25,126.3011386554622
2022-05-26,144.88157142857145
2022-05-27,138.48743835616438
2022-05-28,165.00713775510204
2022-05-29,157.8223911111111
2022-05-30,162.67589285714286
2022-05-31,145.02522758620688
2022-06-01,151.67409442060085
2022-06-02,144.3709861111111
2022-06-03,151.2348440860215
2022-06-04,141.38954487179487
2022-06-05,157.9936201923077
2022-06-06,152.513399103139
2022-06-07,152.19446558704453
2022-06-08,148.05821076233184
2022-06-09,160.8360558139535
2022-06-10,146.72774611398964
2022-06-11,158.49758288770053
2022-06-12,136.64625471698113
2022-06-13,138.36209482758622
2022-06-14,138.68448051948053
2022-06-15,134.289115
2022-06-16,122.75791379310344
2022-06-17,129.8289191919192
2022-06-18,141.52959701492537
2022-06-19,126.7151282051282
2022-06-20,127.08875925925923
2022-06-21,137.9988219178082
